Aer Lingus Regional operated by Stobart Air, Cork, Dublin
Air Canada Rouge, Toronto-Pearson
Air France operated by HOP!, Paris-Charles de Gaulle
American Airlines, New York-JFK
Atlantic Airways, Vágar
Austrian Airlines, Innsbruck
BA CityFlyer, Alicante, Barcelona, Chambéry, Faro, Ibiza, Menorca, Palma de Mallorca, Toulouse, Venice-Marco Polo
BH Air, Burgas
British Airways, London-Gatwick, London-Heathrow
British Airways operated by BA CityFlyer, London-City
Brussels Airlines, Brussels
Czech Airlines, Łódź, Prague, Rzeszów
EasyJet, Alicante, Amsterdam, Athens, Basel/Mulhouse, Belfast-International, Berlin-Schönefeld, Bristol, Copenhagen, Funchal, Geneva, Hamburg, Kraków, Lisbon, London-Gatwick, London-Luton, London-Stansted, Lyon, Madrid, Milan-Malpensa, Munich, Paphos, Paris-Charles de Gaulle, Prague, Reykjavik-Keflavik, Stuttgart, Tenerife-South, Bodrum, Dalaman, Dubrovnik, Grenoble, Crete, Naples, Nice, Palma de Mallorca
Edelweiss Air, Zürich
Etihad Airways, Abu Dhabi
Flybe, Belfast-City, Birmingham, Cardiff, East Midlands, Exeter, London-City, Manchester, Paris-Charles de Gaulle, Southampton, Bergerac, Jersey, Newquay, Geneva, Innsbruck
Flybe operated by Loganair, Kirkwall, Norwich, Stornoway, Sumburgh, Wick
Freebird Airlines, Antalya
Germanwings, Cologne/Bonn
Iberia Express, Madrid
Jet2.com, Budapest, Alicante, Antalya, Chambéry, Crete, Dalaman, Dubrovnik, Faro, Gran Canaria, Ibiza, Kefalonia, La Rochelle, Lanzarote, Larnaca, Málaga, Menorca, Murcia, Naples, Palma de Mallorca, Paphos, Pula, Reus, Rhodes, Salzburg, Split, Venice-Marco Polo, Verona, Tenerife-South, Vienna, Zante, Geneva
KLM, Amsterdam
KLM operated by KLM Cityhopper, Amsterdam
Lufthansa, Frankfurt
Niki, Graz, Linz, Vienna
Norwegian Air Shuttle, Copenhagen, Malaga, Oslo-Gardermoen, Stockholm-Arlanda, Tenerife-South
Qatar Airways, Doha
Ryanair, Alicante, Barcelona, Charleroi, Copenhagen, Dublin, Faro, Fuerteventura, Gdańsk, Hahn, Kraków, Lanzarote, London-Stansted, Málaga, Malta, Moss, Rome-Ciampino, Santander, Tenerife-South, Weeze, Béziers, Bologna, Bordeaux, Bratislava, Bremen, Corfu, Gothenburg-Landvetter, Gran Canaria, Kaunas, Marseille, Palma de Mallorca, Pisa, Poitiers, Poznań
Scandinavian Airlines, Copenhagen, Oslo-Gardermoen, Stockholm-Arlanda
Thomas Cook Airlines, Dalaman, Gran Canaria, Palma de Mallorca, Tenerife-South, Marrakesh
Thomson Airways, Gran Canaria, Lanzarote, Tenerife-South, Alicante, Cancún, Corfu, Dalaman, Enfidha, Geneva, Ibiza, Innsbruck, Orlando-Sanford, Palma de Mallorca, Paphos, Rhodes, Sharm el Sheikh
Turkish Airlines, Istanbul-Atatürk
United Airlines, Newark, Chicago-O'Hare
Virgin Atlantic operated by Aer Lingus, London-Heathrow
Vueling, Barcelona
